,name,top1,top5
290,"(3,4,11)",0.68306,0.88162
291,"(1,2,6)",0.67686,0.8768
292,"(1,2,4)",0.67644,0.8762
293,"(8,9,11)",0.68436,0.8827
294,"(10,11,12)",0.68324,0.88154
295,"(1,2,9)",0.67772,0.87684
296,"(6,11,13)",0.68388,0.88258
297,"(4,6,8)",0.68348,0.88236
298,"(3,8,11)",0.68314,0.88204
299,"(2,6,12)",0.68348,0.8814
300,"(0,10,11)",0.68318,0.8822
301,"(0,2,13)",0.68344,0.88198
302,"(4,5,11)",0.6841,0.88252
303,"(6,7,8)",0.68334,0.88246
304,"(1,11,13)",0.6765,0.877
305,"(2,8,9)",0.68398,0.88236
306,"(1,6,10)",0.67676,0.87636
307,"(3,6,10)",0.6824,0.88108
308,"(5,6,12)",0.6843,0.8822
309,"(1,6,7)",0.67702,0.87676
310,"(0,3,11)",0.6829,0.88222
311,"(3,8,10)",0.68282,0.88156
312,"(5,6,10)",0.68342,0.88184
313,"(1,2,5)",0.6779,0.87708
314,"(1,7,10)",0.6767,0.87684
315,"(1,5,8)",0.67822,0.87772
316,"(10,11,13)",0.68334,0.88166
317,"(0,2,11)",0.68404,0.8823
318,"(0,3,6)",0.68264,0.88248
319,"(3,9,10)",0.68258,0.8816
320,"(1,4,12)",0.67662,0.87586
321,"(0,7,8)",0.68342,0.88232
322,"(1,2,7)",0.67698,0.8767
323,"(0,8,13)",0.68276,0.88264
324,"(7,11,12)",0.68392,0.88192
325,"(6,7,11)",0.68362,0.88238
326,"(5,8,12)",0.68468,0.88222
327,"(4,12,13)",0.68414,0.8812
328,"(1,3,10)",0.6754,0.87574
329,"(0,1,9)",0.677,0.87728
330,"(4,7,9)",0.68344,0.88232
331,"(1,2,10)",0.67658,0.87638
332,"(2,3,7)",0.6826,0.8815
333,"(6,8,10)",0.6834,0.88188
334,"(1,2,8)",0.67732,0.87722
335,"(2,10,12)",0.68314,0.8809
336,"(1,9,12)",0.6776,0.87622
337,"(1,4,10)",0.67556,0.87568
338,"(6,10,11)",0.6833,0.882
339,"(3,4,10)",0.68268,0.8811
340,"(1,6,8)",0.67708,0.87678
341,"(1,3,12)",0.67494,0.875
342,"(2,8,10)",0.68314,0.88166
343,"(3,7,12)",0.68254,0.8813
344,"(3,6,12)",0.68282,0.88182
345,"(2,6,9)",0.68392,0.88206
346,"(1,7,12)",0.67674,0.8764
347,"(2,4,10)",0.68326,0.88118
348,"(2,9,12)",0.68438,0.88168
349,"(0,8,12)",0.68374,0.88204
350,"(3,11,12)",0.68328,0.88198
351,"(0,3,9)",0.6827,0.88236
352,"(4,8,13)",0.68302,0.88248
353,"(1,9,11)",0.6783,0.8769
354,"(3,10,13)",0.68232,0.88098
355,"(2,3,13)",0.6829,0.88164
356,"(2,9,11)",0.68452,0.88172
357,"(3,7,13)",0.6824,0.88162
358,"(1,7,11)",0.67714,0.87686
359,"(1,6,9)",0.67784,0.8766
360,"(3,5,11)",0.68376,0.88222
361,"(9,11,12)",0.68446,0.88224
362,"(0,1,6)",0.67694,0.87742
363,"(3,5,12)",0.68312,0.88204
