,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,range,rmse/scale
74,CONV_2D,603,369664.0,0.03408226,0.0005703984,0.13791634,0.0011619757,0.11473996,-18,model_1/bnorm_41/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_41/Conv2D,29.2586898,0.2970871235017512
75,LEAKY_RELU,607,369664.0,0.020632604,-0.003848316,0.043682784,0.00044073747,0.07000304,-110,model_1/leaky_41/LeakyRelu,17.8507752,0.29989766666083595
76,CONV_2D,611,739328.0,0.023059607,0.00015643548,0.07413288,0.00053177454,0.078382626,16,model_1/bnorm_42/FusedBatchNormV3;model_1/conv_92/Conv2D;model_1/conv_42/Conv2D,19.98756963,0.2942008756642746
77,LEAKY_RELU,615,739328.0,0.010846233,-0.005810268,0.023446826,0.00015141012,0.038472556,-99,model_1/leaky_42/LeakyRelu,9.81050178,0.31983531216348726
78,ADD,619,739328.0,0.027665144,0.0054018465,0.048489083,0.0007957189,0.097069554,-109,model_1/add_13/add,24.75273627,0.2906007980296163
79,CONV_2D,623,369664.0,0.037555728,0.00041324514,0.13306943,0.0014106373,0.12743707,2,model_1/bnorm_44/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_44/Conv2D,32.496452850000004,0.29472155769532227
80,LEAKY_RELU,627,369664.0,0.020474143,-0.004353766,0.04240745,0.00043846617,0.06902251,-104,model_1/leaky_44/LeakyRelu,17.60074005,0.3033732590534918
81,CONV_2D,631,739328.0,0.02588526,-0.00012811185,0.10725957,0.00067007315,0.08777687,13,model_1/bnorm_45/FusedBatchNormV3;model_1/conv_92/Conv2D;model_1/conv_45/Conv2D,22.383101850000003,0.2949042405823819
82,LEAKY_RELU,635,739328.0,0.012546456,-0.006755314,0.027537733,0.00020306538,0.044129428,-100,model_1/leaky_45/LeakyRelu,11.25300414,0.3229160607355545
83,ADD,639,739328.0,0.029309066,0.0087985005,0.047977448,0.0009394107,0.09577663,-107,model_1/add_14/add,24.42304065,0.32001342606723393
