,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,range,rmse/scale
70,LEAKY_RELU,587,369664.0,0.0176588,-0.0027133937,0.035981104,0.0003192472,0.060443513,-105,model_1/leaky_38/LeakyRelu,15.413095815,0.29560641239994384
71,CONV_2D,591,739328.0,0.022166042,-0.0010631776,0.07380116,0.00049247505,0.07513536,12,model_1/bnorm_39/FusedBatchNormV3;model_1/conv_92/Conv2D;model_1/conv_39/Conv2D,19.1595168,0.2953573242103457
72,LEAKY_RELU,595,739328.0,0.01248593,-0.007483755,0.023464823,0.0002119193,0.03802972,-100,model_1/leaky_39/LeakyRelu,9.6975786,0.38279136068861286
73,ADD,599,739328.0,0.021899223,-0.0050558615,0.039107524,0.0005054309,0.07634965,-109,model_1/add_12/add,19.46916075,0.2944583296600429
74,CONV_2D,603,369664.0,0.034891203,0.00061146764,0.14298652,0.0012178188,0.11733079,-20,model_1/bnorm_41/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_41/Conv2D,29.91935145,0.29742628203114435
75,LEAKY_RELU,607,369664.0,0.021454565,-0.0050039114,0.04480837,0.00048556796,0.0725873,-111,model_1/leaky_41/LeakyRelu,18.5097615,0.303573857137035
76,CONV_2D,611,739328.0,0.022574319,-2.0518884e-05,0.09948978,0.0005096069,0.07658117,19,model_1/bnorm_42/FusedBatchNormV3;model_1/conv_92/Conv2D;model_1/conv_42/Conv2D,19.52819835,0.29477839687263696
77,LEAKY_RELU,615,739328.0,0.010606788,-0.004477621,0.022271292,0.00013256753,0.036800653,-97,model_1/leaky_42/LeakyRelu,9.384166515,0.31286937694619776
78,ADD,619,739328.0,0.020367125,0.011431881,0.039534427,0.000545729,0.076583035,-107,model_1/add_13/add,19.528673925,0.3050394033965346
79,CONV_2D,623,369664.0,0.034770336,0.00030990865,0.13295299,0.0012091075,0.11721227,0,model_1/bnorm_44/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_44/Conv2D,29.88912885,0.29666026525919975
80,LEAKY_RELU,627,369664.0,0.018981937,-0.006205215,0.039983004,0.00039902434,0.064119756,-105,model_1/leaky_44/LeakyRelu,16.35053778,0.3115357084047697
81,CONV_2D,631,739328.0,0.026040535,4.9686227e-05,0.11501735,0.0006781239,0.08809853,10,model_1/bnorm_45/FusedBatchNormV3;model_1/conv_92/Conv2D;model_1/conv_45/Conv2D,22.46512515,0.29558736336820984
82,LEAKY_RELU,635,739328.0,0.013075838,-0.0018464068,0.027664179,0.00017439468,0.045042314,-101,model_1/leaky_45/LeakyRelu,11.48579007,0.29318781870636307
83,ADD,639,739328.0,0.022102958,-0.009482852,0.038911063,0.00057965185,0.07671441,-103,model_1/add_14/add,19.562174549999998,0.31383882117620643
84,CONV_2D,643,369664.0,0.031437006,0.00033837464,0.122832194,0.0009884398,0.10502521,-1,model_1/bnorm_47/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_47/Conv2D,26.781428549999998,0.2993515791455994
85,LEAKY_RELU,647,369664.0,0.01688193,-0.0031178428,0.031793166,0.0002947549,0.057786305,-105,model_1/leaky_47/LeakyRelu,14.735507775,0.2971020108967381
