,name,mAP
274,"(13, 53, 55)",68.74393672431253
275,"(37, 40, 44)",68.2789686261375
276,"(29, 70, 73)",68.6686566788322
277,"(30, 47, 57)",68.66345518618806
278,"(6, 29, 74)",68.65617756303463
279,"(24, 44, 61)",68.5728512331965
280,"(1, 29, 47)",68.65611605713104
281,"(27, 33, 53)",68.75802466680751
282,"(20, 35, 54)",68.74184033447841
283,"(7, 29, 68)",68.8346049254136
284,"(10, 12, 13)",68.79407719915484
285,"(27, 50, 56)",68.56785772933827
286,"(15, 32, 53)",68.73859199001873
287,"(7, 46, 51)",68.6670317234734
288,"(7, 19, 64)",68.79724140661818
289,"(27, 38, 71)",68.58365116833598
290,"(47, 71, 73)",68.44294875647054
291,"(11, 25, 47)",68.48290068772332
292,"(16, 41, 74)",68.74975052420491
293,"(14, 61, 72)",68.75925298877655
294,"(22, 33, 40)",68.53520978265382
295,"(19, 46, 58)",68.53630637191746
296,"(1, 30, 34)",68.58477335729674
297,"(9, 29, 35)",68.63224002103124
298,"(51, 61, 65)",68.73274941156883
299,"(3, 41, 71)",68.55097083972801
300,"(19, 50, 68)",68.7428719839955
301,"(14, 41, 65)",68.71805184045812
302,"(3, 10, 30)",68.41264204325888
303,"(35, 45, 51)",68.30827566920102
304,"(13, 26, 36)",68.66709508993038
305,"(33, 51, 74)",68.84059350994633
306,"(11, 45, 60)",68.45344148356135
307,"(8, 9, 15)",68.59112641579387
308,"(4, 6, 46)",68.57565084508771
309,"(31, 36, 46)",68.73785456278185
310,"(2, 22, 66)",68.70716760630192
311,"(2, 23, 43)",68.62279055776985
312,"(4, 42, 44)",68.38571759848519
313,"(9, 16, 68)",68.67430124198158
314,"(46, 56, 66)",68.42984062314927
315,"(17, 23, 68)",68.77270756916822
316,"(6, 11, 38)",68.48573077370524
317,"(7, 19, 33)",68.82475894934298
318,"(2, 11, 47)",68.79098556806863
319,"(46, 69, 72)",68.60216517810015
320,"(5, 42, 51)",68.60759241046617
321,"(3, 10, 29)",68.49133097344854
322,"(7, 17, 37)",68.79712467978145
323,"(6, 15, 29)",68.72796201996975
324,"(50, 64, 65)",68.6347645860616
325,"(5, 37, 66)",68.63406141934728
326,"(23, 38, 43)",68.38087325249258
327,"(48, 50, 61)",68.60888119634625
328,"(2, 30, 31)",68.61342159682827
329,"(8, 18, 24)",68.6383151535908
330,"(22, 30, 54)",68.63985565516761
331,"(13, 16, 58)",68.51639426834471
332,"(1, 38, 51)",68.55297614847836
333,"(12, 18, 58)",68.53186211290928
334,"(59, 64, 71)",68.6031014437995
335,"(3, 16, 67)",68.41634592914302
336,"(14, 43, 55)",68.56638379094142
337,"(19, 64, 68)",68.8420896579549
338,"(35, 41, 53)",68.7683079469115
339,"(12, 29, 56)",68.66772236363549
340,"(20, 27, 50)",68.72300127472396
341,"(36, 42, 55)",68.52879018739134
342,"(5, 15, 54)",68.76937531067459
343,"(34, 35, 38)",68.51409397211268
344,"(4, 9, 14)",68.7331517729837
345,"(34, 47, 49)",68.75931978752543
346,"(3, 24, 60)",68.50927343848578
347,"(6, 20, 68)",68.6239495057548
348,"(16, 56, 57)",68.7585445129162
349,"(15, 22, 55)",68.75412780134222
350,"(7, 12, 29)",68.81220119190823
351,"(4, 16, 44)",68.5798183981733
352,"(3, 24, 51)",68.42338583031237
353,"(17, 27, 66)",68.7376958297779
354,"(28, 55, 67)",68.59154366167711
355,"(4, 70, 72)",68.81510988306195
356,"(23, 41, 42)",68.53489256126505
357,"(56, 64, 65)",68.53414579320325
358,"(42, 55, 73)",68.52620929416028
359,"(4, 19, 74)",68.78937969611528
360,"(17, 37, 59)",68.7465355316505
361,"(20, 22, 41)",68.70668099989527
362,"(9, 38, 41)",68.58571977905609
363,"(18, 30, 54)",68.54413679550898
364,"(23, 41, 47)",68.63341845999426
365,"(2, 8, 9)",68.65476025749892
366,"(31, 38, 61)",68.68275832338354
367,"(15, 17, 65)",68.68076765496343
368,"(9, 32, 73)",68.57193961367788
369,"(26, 46, 57)",68.5584058983333
370,"(11, 58, 74)",68.58163504792326
371,"(12, 32, 70)",68.74414420340577
372,"(0, 32, 71)",68.63086661899575
373,"(23, 37, 62)",68.65835183105723
374,"(5, 9, 42)",68.44642649964182
375,"(0, 18, 39)",68.68439559263268
376,"(14, 34, 65)",68.73070120609661
377,"(52, 54, 69)",68.80901122089097
378,"(58, 61, 67)",68.57206633547442
379,"(22, 43, 54)",68.5209737832228
380,"(24, 27, 38)",68.6279070540256
381,"(7, 53, 64)",68.6485978732476
382,"(33, 39, 74)",68.66903970606265
383,"(18, 28, 51)",68.5401812995157
384,"(19, 22, 69)",68.75160697414697
385,"(35, 57, 61)",68.69667575833967
386,"(20, 29, 53)",68.73432893256513
387,"(11, 15, 62)",68.6652700071861
388,"(56, 59, 66)",68.66186329754336
389,"(0, 48, 59)",68.75512703305404
390,"(8, 45, 74)",68.28148067568043
391,"(1, 37, 38)",68.59983529531853
392,"(44, 61, 62)",68.43862390330027
393,"(3, 31, 71)",68.49624935322403
394,"(12, 20, 68)",68.69985073625796
395,"(2, 22, 49)",68.93328705749133
396,"(47, 53, 60)",68.60521441893596
397,"(2, 19, 53)",68.79684554413922
398,"(11, 22, 25)",68.62181955908447
399,"(3, 12, 51)",68.41224929121518
400,"(16, 37, 56)",68.6668582725377
401,"(20, 24, 44)",68.5837657535431
402,"(7, 13, 53)",68.74963012595255
403,"(30, 44, 70)",68.43877036314534
404,"(7, 17, 19)",68.9345605762356
405,"(44, 47, 64)",68.40643313811496
406,"(15, 53, 73)",68.75960892127104
407,"(13, 17, 41)",68.87004028342916
408,"(15, 53, 68)",68.79071612012876
409,"(1, 15, 18)",68.69783438358478
410,"(16, 44, 51)",68.62289945406144
411,"(10, 26, 45)",68.34253200010694
412,"(18, 52, 57)",68.81327925063839
413,"(29, 47, 54)",68.66810984709927
414,"(2, 8, 30)",68.54569320825999
415,"(10, 34, 41)",68.68080364347311
416,"(22, 54, 74)",68.7268631712031
417,"(7, 48, 54)",68.81150646557494
418,"(37, 54, 55)",68.7395997993445
419,"(4, 10, 64)",68.70220259674704
420,"(15, 36, 48)",68.74114923809826
421,"(20, 25, 41)",68.4696128557441
422,"(17, 26, 57)",68.82973204913418
423,"(20, 29, 32)",68.66912811430106
424,"(41, 67, 71)",68.71847326514758
425,"(5, 36, 53)",68.778928898455
426,"(11, 14, 26)",68.71623652426678
427,"(2, 40, 49)",68.59315294845443
428,"(26, 52, 68)",68.7140725290671
429,"(12, 20, 66)",68.6789795456441
430,"(15, 20, 73)",68.66869584796939
431,"(22, 50, 70)",68.62950095832869
432,"(1, 4, 70)",68.68817810196285
433,"(4, 60, 66)",68.64373611274435
434,"(2, 37, 51)",68.76813145076952
435,"(14, 36, 37)",68.65988960384736
436,"(0, 15, 47)",68.66464583109824
437,"(1, 13, 36)",68.68555340610894
438,"(10, 14, 35)",68.71061268507766
439,"(19, 26, 52)",68.86287854214713
