,0
765,68.41849823855547
766,68.48075956242042
767,68.65881166310774
768,68.34496400271767
769,68.29660818314575
770,68.50315058880474
771,68.66671114019735
772,68.68521989064287
773,68.60371744311199
774,68.72080531611574
775,68.62560764602628
776,68.69803382254422
777,68.6556206703582
778,68.50459822671057
779,68.8161924135406
780,68.32141815177717
781,68.69470793829336
782,68.40609344944421
783,68.83699452367678
784,68.8333431127347
785,68.9852919579361
786,68.71375342450321
787,68.83516826379068
788,68.59828170233727
789,68.61559342919031
790,68.5571413150403
791,68.82495561486583
792,68.50005720833563
793,68.79110242504626
794,68.53295448727086
795,68.47040284449788
796,68.6695978742693
797,68.44497000590796
798,68.54162517252622
799,68.68557712499017
800,68.79533064906258
801,68.4586955717789
802,68.44461761169708
803,68.50392138608588
804,68.47133118794004
805,68.63862474207426
806,68.73454566820946
807,68.72342285915514
808,68.69778992244079
809,68.80053695448713
810,68.81507033165094
811,68.50972017623548
812,68.49576227474037
813,68.69095560294859
814,68.75405437386623
815,68.27650938046102
816,68.79798934334765
817,68.84177844434758
818,68.85427567943977
819,68.38191700561892
820,68.42434401256745
821,68.71888271384788
822,68.62315910674087
823,68.68409447444127
824,68.60262443175993
825,68.45453215079458
826,68.65365322460023
827,68.6328960201425
828,68.74501362979629
829,68.78121260061882
830,68.61193234182402
831,68.40826799796524
832,68.68146240084691
833,68.61109446698075
834,68.67737261890726
835,68.76155027499587
836,68.52661990532025
837,68.64445187732368
838,68.51801841088431
839,68.68085545721263
840,68.65125046040048
841,68.60378851087708
842,68.84550709881559
843,68.7969863615549
844,68.79776930279789
845,68.41671906810525
846,68.51863198974428
847,68.55102165203732
848,68.82679215658256
849,68.7072411473102
850,68.66577199509872
851,68.80747238108354
852,68.69771272617578
853,68.4969867740693
854,68.81321101651199
855,68.80982690751381
856,68.62152128771697
857,68.64102000598905
858,68.67862405045511
859,68.47345183932434
860,68.7509355227171
861,68.70087446637689
862,68.47816247341399
863,68.5356339342561
864,68.39001466271019
865,68.51422507374798
866,68.59418921451442
867,68.49888953461499
868,68.47500806052693
869,68.61083744493965
870,68.33443381008014
871,68.70511170375714
872,68.80421881194955
873,68.6032741401319
874,68.75552927908267
875,68.58650342750065
876,68.83704951584339
877,68.43164041115367
878,68.62554547104855
879,68.70199766840048
880,68.99789892957862
881,68.53499004857414
882,68.37785817749126
883,68.44894700885465
884,68.50809137034395
885,68.67401237189132
886,68.78766499109034
887,68.36103885378388
888,68.74847775943957
889,68.65611938620422
890,68.52466538698052
891,68.51975685674606
892,68.6953660986912
893,68.28785677529417
894,68.66726091091071
895,68.72768994745762
896,68.60493864266223
897,68.79490476743592
898,68.5268921301157
899,68.43773486967031
900,68.64963418567926
901,68.55347584800454
902,68.4712350502674
903,68.83415231607063
904,68.66034327125472
905,68.82980638556779
906,68.79591414732403
907,68.57608162033337
908,68.45903181574617
909,68.69202742489418
910,68.52317068712735
911,68.72182702679692
912,68.66776264548356
913,68.46481048972362
914,68.44960252394355
915,68.73711507409048
916,68.78697164415047
917,68.60713412123162
918,68.67561006969451
919,68.66418110187693
920,68.7132940213269
921,68.59245994443408
922,68.74118655535743
923,68.83040199160988
924,68.68009302786204
925,68.64278508198869
926,68.6210215435013
927,68.46823607263852
928,68.72877739506553
929,68.62006710302452
930,68.5013325049182
931,68.48942389509827
932,68.58651641859754
933,68.69268457231821
934,68.71524631484942
935,68.557086266494
936,68.42822484911557
937,68.73011742874903
938,68.70927368266418
939,68.43995984388354
940,68.78541529675587
941,68.76900740122049
942,68.7144159589604
943,68.61232068568413
944,68.64141947271672
945,68.65039347832081
946,68.70568180364414
947,68.48157334162104
948,68.4186894989508
949,68.64055447492
950,68.68149237724784
951,68.61683922774439
952,68.66208957763324
953,68.71065333965502
954,68.10009350156665
955,68.75130291884008
956,68.72900115867667
957,68.49939536473292
958,68.5388924136029
959,68.62876929427792
960,68.58316589821906
961,68.61799325612134
962,68.63985838394704
963,68.66858279774846
964,68.44992863325515
965,68.48255900537085
966,68.6711958675983
967,68.81697697428277
968,68.56668673687788
969,68.59296532880923
970,68.54962949232812
971,68.6581021083583
972,68.48518921037214
973,68.52359157893969
974,68.87695586188447
975,68.52614403141219
976,68.26166541163043
977,68.78581303745428
978,68.85239689387296
979,68.51108392611168
980,68.45020767338957
981,68.68953317898996
982,68.75320250210596
983,68.65024577648171
984,68.75635961100524
985,68.37078732096408
986,68.8516953534662
987,68.56065910927954
988,68.51517833293794
989,68.41986536190299
990,68.61371818289767
991,68.7731154748019
992,68.64145065850849
993,68.64657438004895
994,68.7279340933852
995,68.67662411083825
996,68.66480730567088
997,68.67487890934225
998,68.7411993499324
999,68.77957039163314
1000,68.81649567147234
1001,68.65186599829468
1002,68.61669514938404
1003,68.75494534482043
1004,68.76965576143354
1005,68.8061465336023
1006,68.6784227499241
1007,68.29857930608063
1008,68.57669479885796
1009,68.69081260422038
1010,68.66941248820709
1011,68.69179270405535
1012,68.24362578980931
1013,68.63072841045381
1014,68.58289487222065
1015,68.6181579515208
1016,68.731019307979
1017,68.74795723532345
1018,68.57869755669175
1019,68.75264990058993
1020,68.6940373670606
1021,68.7017001670984
1022,68.60777586177542
1023,68.4768308305985
1024,68.45424991727049
1025,68.67298924428853
1026,68.47119371726156
1027,68.36851999033456
1028,68.88932191758916
1029,68.66786765380317
1030,68.52440835802699
1031,68.75109291489943
1032,68.56815411156778
1033,68.67050585246977
1034,68.70409251075729
1035,68.54610629069681
1036,68.7946541036174
1037,68.70009324237614
1038,68.69656506779368
1039,68.79985541636768
1040,69.00262688094838
1041,68.76205896338008
1042,68.58525866981473
1043,68.62393195515433
1044,68.7942182293934
1045,68.75457877307586
1046,68.79194208622226
1047,68.62219496860108
1048,68.4654833614309
1049,68.53919945092925
1050,68.69372332320512
1051,68.53927921139068
1052,68.54643163294209
1053,68.61350663073767
1054,68.4076437953229
1055,68.7040066186467
1056,68.7463323252834
1057,68.54258563932689
1058,68.7123032446848
1059,68.82193048062388
1060,68.58804236097791
1061,68.24311948239324
1062,68.68350045523702
1063,68.58041229519594
1064,68.59470144979618
1065,68.6747481114217
1066,68.67267968731863
1067,68.6965029600681
1068,68.74329616572685
1069,68.78213214214546
1070,68.51819826924832
1071,68.36831200602958
1072,68.63206286350093
1073,68.7062153570737
1074,68.7276236861181
1075,68.754954084069
1076,68.53652767143778
1077,68.55752542823015
1078,68.62946731662929
1079,68.54149343902729
1080,68.73147997578023
1081,68.31991000759704
1082,68.24120063153137
1083,68.7114323500287
1084,68.49731152789944
1085,68.64532968123494
1086,68.57638297557226
1087,68.57460978763272
1088,68.61393858688366
1089,68.69522711609038
1090,68.58335674432894
1091,68.76622823664952
1092,68.73687687996278
1093,68.63872635992894
1094,68.88909254774376
1095,68.64740481527515
1096,68.74442458519938
1097,68.82069914238966
1098,68.56054024185694
1099,68.55673310842427
1100,68.83184836838893
1101,68.57781622564649
1102,68.79468516542099
1103,68.67174284101576
1104,68.50885136503145
1105,68.46587497717135
1106,68.64516955478385
1107,68.7841595176951
1108,68.71117165350462
1109,68.7246722862602
1110,68.36863135712863
1111,68.52040735937054
1112,68.71834355872568
1113,68.61511121407085
1114,68.6303293845196
1115,68.74267376337106
1116,68.55269688690386
1117,68.72837276431319
1118,68.80744357186737
1119,68.63525922980654
1120,68.59234870209046
1121,68.70987094025544
1122,68.58788936572054
1123,68.68408225763686
1124,68.8118424690346
1125,68.6197798539731
1126,68.70882729100975
1127,68.35018948649297
1128,68.711300451379
1129,68.7350093345546
1130,68.72180937933867
1131,68.80856316151906
1132,68.75013096232054
1133,68.62730066634629
1134,68.76693026347664
1135,68.60115409864626
1136,68.72009962193488
1137,68.68550998377052
1138,68.81696651361578
1139,68.3477116172419
1140,68.80563231042467
1141,68.6035712921403
1142,68.58591064659319
1143,68.57779729112006
1144,68.67425100254874
1145,68.53817164058911
1146,68.62798788411791
1147,68.79647855822132
1148,68.48348499861372
1149,68.7342891048347
1150,68.52955596096326
1151,68.41141702804528
1152,68.73915433591876
1153,68.55364913217994
1154,68.6680194847641
1155,68.59354241881263
1156,68.69715332987066
1157,68.65117877602151
1158,68.68404675447499
1159,68.51854248510077
1160,68.81667603573953
1161,68.63085696412284
1162,68.53232985777777
1163,68.75175028377072
1164,68.7536332840881
1165,68.75931630025664
1166,68.64141032001046
1167,68.72837995055643
1168,68.56946557683133
1169,68.72612904372343
1170,68.59600999339496
1171,68.82053749862843
1172,68.41573817069198
1173,68.75801889587454
1174,68.62378142242584
1175,68.26348731929951
1176,68.68532018430666
1177,68.55520402762579
1178,68.80534735820893
1179,68.47408144743355
1180,68.50747048575194
1181,68.65325332265049
1182,68.6262455515646
1183,68.72488685408318
1184,68.46434610853423
1185,68.75285642721012
1186,68.67692518300255
1187,68.6687698686426
1188,68.6173073658322
1189,68.88177646051427
1190,68.85394629207367
1191,68.7319625111752
1192,68.49497740039101
1193,68.62806884865081
1194,68.71871429193888
1195,68.49148917202513
1196,68.46642267606975
