,name,mAP
130,"(0, 56)",68.64684279399302
131,"(0, 57)",68.77249250191674
132,"(0, 58)",68.56918651773591
133,"(0, 59)",68.72281298848193
134,"(0, 60)",68.69776931786711
135,"(0, 61)",68.74930603920599
136,"(0, 62)",68.69717950665542
137,"(0, 63)",68.77654948747053
138,"(0, 64)",68.73290850002255
139,"(0, 65)",68.7136554354143
140,"(0, 66)",68.71002852781882
141,"(0, 67)",68.69213419320823
142,"(0, 68)",68.72916753355788
143,"(0, 69)",68.7132217761554
144,"(0, 70)",68.67941603339334
145,"(0, 71)",68.74323711286469
146,"(0, 72)",68.69905189322083
147,"(0, 73)",68.66484591858513
148,"(0, 74)",68.74730479290976
149,"(1, 2)",68.69644718673571
150,"(1, 3)",68.4295567726242
151,"(1, 4)",68.74652419871609
152,"(1, 5)",68.68339138697915
153,"(1, 6)",68.70243827281944
154,"(1, 7)",68.6159800605819
155,"(1, 8)",68.53053888976926
156,"(1, 9)",68.648110086785
157,"(1, 10)",68.64095515042284
158,"(1, 11)",68.71339309506446
159,"(1, 12)",68.67597513956684
160,"(1, 13)",68.73180174257361
161,"(1, 14)",68.61741072773357
162,"(1, 15)",68.71438114850832
163,"(1, 16)",68.63793708185383
164,"(1, 17)",68.6148426647202
165,"(1, 18)",68.6716616668676
166,"(1, 19)",68.65614391249478
167,"(1, 20)",68.63622984076137
168,"(1, 21)",68.73047389393324
169,"(1, 22)",68.71492885863717
170,"(1, 23)",68.67880267865276
171,"(1, 24)",68.67763917088959
172,"(1, 25)",68.50891598557499
173,"(1, 26)",68.74089563683862
174,"(1, 27)",68.70088484068464
175,"(1, 28)",68.48506362213371
176,"(1, 29)",68.66203575554475
177,"(1, 30)",68.63144167670818
178,"(1, 31)",68.7073204938476
179,"(1, 32)",68.67930659104302
180,"(1, 33)",68.6437656525041
181,"(1, 34)",68.67420966115046
182,"(1, 35)",68.63494195488951
183,"(1, 36)",68.64901735865632
184,"(1, 37)",68.69249409279352
185,"(1, 38)",68.61661593966369
186,"(1, 39)",68.65841211920963
187,"(1, 40)",68.48784584149672
188,"(1, 41)",68.6900135084455
189,"(1, 42)",68.58948380841336
190,"(1, 43)",68.58875124524218
191,"(1, 44)",68.63568421705217
192,"(1, 45)",68.03245993487994
193,"(1, 46)",68.5899831167705
194,"(1, 47)",68.56621701721323
195,"(1, 48)",68.67525300787015
196,"(1, 49)",68.78571098993999
197,"(1, 50)",68.66549847750287
198,"(1, 51)",68.74467791487582
199,"(1, 52)",68.71194742304915
200,"(1, 53)",68.68492861932224
201,"(1, 54)",68.71464158415026
202,"(1, 55)",68.66863600505835
203,"(1, 56)",68.59121636891008
204,"(1, 57)",68.74090107941456
205,"(1, 58)",68.5139296221671
206,"(1, 59)",68.66072918744605
207,"(1, 60)",68.64063778067882
208,"(1, 61)",68.67121101575245
209,"(1, 62)",68.5236373704483
210,"(1, 63)",68.68027609303088
211,"(1, 64)",68.70285792696026
212,"(1, 65)",68.62958348804449
213,"(1, 66)",68.64686601667981
214,"(1, 67)",68.6948860348109
215,"(1, 68)",68.66004353057471
216,"(1, 69)",68.62678524256783
217,"(1, 70)",68.68219599609388
218,"(1, 71)",68.56258083604313
219,"(1, 72)",68.62213512813872
220,"(1, 73)",68.6107716896163
221,"(1, 74)",68.69116740861597
222,"(2, 3)",68.4896805219911
223,"(2, 4)",68.76342297498363
224,"(2, 5)",68.82792570558102
225,"(2, 6)",68.60204435974282
226,"(2, 7)",68.93374709388165
227,"(2, 8)",68.7512822543382
228,"(2, 9)",68.79241066465649
229,"(2, 10)",68.80293294839548
230,"(2, 11)",68.85483863528982
231,"(2, 12)",68.84374332492472
232,"(2, 13)",68.85952734315454
233,"(2, 14)",68.83642288118826
234,"(2, 15)",68.87123837488747
235,"(2, 16)",68.82247099837235
236,"(2, 17)",68.85415522027303
237,"(2, 18)",68.78020033631753
238,"(2, 19)",68.82960367506797
239,"(2, 20)",68.84922461426638
240,"(2, 21)",68.78057736466077
241,"(2, 22)",68.79977591283318
242,"(2, 23)",68.73387505719208
243,"(2, 24)",68.8110298201069
244,"(2, 25)",68.64438480409665
245,"(2, 26)",68.80842850409243
246,"(2, 27)",68.83331774466998
247,"(2, 28)",68.57685477170864
248,"(2, 29)",68.78013634753869
249,"(2, 30)",68.62325061554682
250,"(2, 31)",68.81875709987001
251,"(2, 32)",68.76344206039862
252,"(2, 33)",68.8376676708076
253,"(2, 34)",68.68538067516626
254,"(2, 35)",68.77123736773306
255,"(2, 36)",68.81729048354761
